article_id,dataset_id,type_true,type_pred,cat_id,cat_type,cat_article_id
10.1186_s12859-018-2263-6,https://doi.org/10.1287/isre.2013.0480,,Primary,FP,FP,FP
10.21203_rs.3.rs-2814013_v1,https://doi.org/10.1081/e-epcs120005566,,Primary,FP,FP,TP
10.7554_elife.42722,https://doi.org/10.5061/dryad.d0779mb,Primary,Primary,TP,TP,TP
10.3389_fevo.2023.1112519,https://doi.org/10.1594/pangaea.941234,Primary,,FN,FN,TP
10.1111_cas.12935,HPA001522,Secondary,Secondary,TP,TP,TP
10.3389_fmicb.2024.1456637,SAMN07159045,Secondary,,TP,FN,TP
10.1107_s2059798322005691,https://doi.org/10.18150/wefsc9,Primary,Primary,TP,TP,TP
10.5937_bnhmb1811227u,https://doi.org/10.15468/dl.ize4xx,Secondary,,TP,FN,TP
10.3897_zookeys.500.9360,https://doi.org/10.5061/dryad.dv44b,Primary,Primary,TP,TP,TP
10.1186_s12920-019-0628-y,GSE3960,,Secondary,FP,FP,FP
10.1016_j.ecolind.2021.107934,https://doi.org/10.6073/pasta/be42bb841e696b7bca-d9957aed33db5e,,Primary,FP,FP,TP
10.1080_21645515.2023.2189598,NM_001257671,,Secondary,FP,FP,TP
10.1073_pnas.1705601114,PRJEB21611,,Secondary,FP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36395.v1,Secondary,,TP,FN,TP
10.3897_bdj.7.e47369,https://doi.org/10.5281/zenodo.15039,,Primary,FP,FP,FP
10.1038_s41597-023-02280-2,EMPIAR-10345,Secondary,Secondary,TP,TP,TP
10.1021_acsomega.3c06074,https://doi.org/10.1289/ehp.1510267,,Primary,FP,FP,TP
10.7554_elife.73695,https://doi.org/10.1249/mss.0000000000001344,,Primary,FP,FP,TP
10.1590_0034-7167-2018-0065,https://doi.org/10.5216/ree.v18.40589,,Primary,FP,FP,FP
10.3133_cir1497,https://doi.org/10.5066/p9xvjdnp,Secondary,,FN,FN,TP
10.1186_s13568-018-0680-6,https://doi.org/10.1051/rnd:2001112,,Primary,FP,FP,FP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr34585.v1,Secondary,,TP,FN,TP
10.1371_journal.pone.0159387,PRJNA74167,Secondary,Secondary,TP,TP,TP
10.1038_s41396-020-00885-8,IPR000884,Secondary,Secondary,TP,TP,TP
10.5194_acp-22-2769-2022,https://doi.org/10.5067/suborbital/oracles/p3/2017_v2,,Primary,TP,FP,TP
10.1186_s13068-018-1167-z,https://doi.org/10.4155/bfs.11.153,,Primary,FP,FP,FP
10.1016_j.molcel.2018.11.006,GSE61188,,Secondary,FP,FP,TP
10.1038_s41396-020-00885-8,PF05834,Secondary,Secondary,TP,TP,TP
10.1186_s12870-019-1632-2,SAMN10345065,,Primary,FP,FP,FP
10.1098_rsos.160417,https://doi.org/10.5061/dryad.2bs69.2,Primary,,FN,FN,TP
10.1140_epjc_s10052-016-4366-4,https://doi.org/10.1393/ncb/i2008-10670-y,,Primary,FP,FP,FP
10.1186_s13072-019-0285-6,GSE19602,,Secondary,FP,FP,FP
10.1029_2023wr035126,https://doi.org/10.7265/n5tb14tc,,Primary,FP,FP,TP
10.1038_s41598-020-59839-x,ENSOARG00000014129,Secondary,Secondary,TP,TP,TP
10.1002_esp.5090,https://doi.org/10.5066/p9353101,Secondary,,TP,FN,TP
10.1002_nafm.10870,https://doi.org/10.5066/p9gtumay,Primary,Primary,TP,TP,TP
10.1371_journal.pcbi.1011828,GSE41258,,Secondary,FP,FP,TP
10.1186_s12864-019-6131-1,SRR2028233,,Secondary,FP,FP,FP
10.1242_bio.035071,https://doi.org/10.11609/jott.1753.8.4.8736-8738,,Primary,FP,FP,TP
10.3389_fmicb.2024.1456637,SAMN04505646,,Primary,FP,FP,TP
10.12688_f1000research.13622.1,https://doi.org/10.5256/f1000research.14799.r31828,,Primary,FP,FP,TP
10.1371_journal.pone.0212669,E-GEOD-29623,Secondary,Secondary,TP,TP,TP
10.17815_jlsrf-2-58,https://doi.org/10.1269/jrr.11080,,Primary,FP,FP,FP
10.1186_s13054-015-1052-0,GSE26378,,Secondary,FP,FP,FP
10.1186_s12870-018-1542-8,GSE42871,,Secondary,FP,FP,FP
10.7717_peerj.10452,SAMN16233641,Primary,Primary,TP,TP,TP
10.1186_s12864-019-6131-1,ENSPSIG00000011968,,Secondary,FP,FP,FP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr25113.v1,,Primary,FP,FP,TP
10.1098_rsbl.2015.0113,https://doi.org/10.5061/dryad.1h7p0,Primary,Primary,TP,TP,TP
10.1007_s12559-020-09751-3,https://doi.org/10.7937/k9/tcia.2015.u1x8a5nr,Secondary,,TP,FN,TP
10.3133_cir1497,https://doi.org/10.5066/f7tt4q4b,,Primary,TP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36795.v1,,Primary,TP,FP,TP
10.1371_journal.pcbi.1011828,E-PROT-108,Secondary,Secondary,TP,TP,TP
10.1111_ddi.13161,https://doi.org/10.5061/dryad.73n5tb2v8,,Primary,FP,FP,FP
10.1186_s13059-020-1949-z,GSM3630200,,Secondary,FP,FP,FP
10.3389_fmicb.2024.1456637,SAMN12620700,,Primary,TP,FP,TP
10.1186_s12868-018-0468-2,https://doi.org/10.1167/iovs.16-19536,,Primary,FP,FP,FP
10.1128_spectrum.00422-24,PRJNA700828,,Secondary,FP,FP,TP
10.1038_hdy.2015.99,https://doi.org/10.5061/dryad.f47f6,Primary,Primary,TP,TP,TP
10.14379_iodp.proc.390393.208.2024,https://doi.org/10.1351/pac199466020273,,Primary,FP,FP,TP
10.1186_s13059-019-1924-8,GSM1872888,,Secondary,FP,FP,FP
10.1080_21645515.2023.2189598,ENSMMUT00000046595,,Secondary,FP,FP,TP
10.3390_molecules25010053,https://doi.org/10.1524/zkri.216.10.523.20368,,Primary,FP,FP,FP
10.18438_eblip29674,https://doi.org/10.2218/ijdc.v8i1.242,,Primary,FP,FP,TP
10.1371_journal.pone.0212669,E-GEOD-58697,Secondary,Secondary,TP,TP,TP
10.1111_mec.16743,https://doi.org/10.5061/dryad.g1jwstqsg,Primary,,FN,FN,TP
10.1128_JVI.01717-21,EPI_ISL_445089,Primary,,TP,FN,TP
10.5194_essd-8-663-2016,https://doi.org/10.1594/pangaea.845258,Primary,Primary,TP,TP,TP
10.3390_microorganisms8121872,CHEMBL243644,Secondary,Secondary,TP,TP,TP
10.1038_s41597-019-0101-y,SRP184152,,Secondary,TP,FP,TP
10.18438_eblip29674,https://doi.org/10.1300/j104v42n01_06,,Primary,FP,FP,TP
10.1111_cas.12935,HPA007450,Secondary,Secondary,TP,TP,TP
10.1136_jitc-2021-003114,CVCL_1916,Secondary,Secondary,TP,TP,TP
10.12688_f1000research.11698.1,https://doi.org/10.5256/f1000research.11698.d163781,Primary,Primary,TP,TP,TP
10.1371_journal.pone.0212669,E-GEOD-46474,Secondary,Secondary,TP,TP,TP
10.5194_se-13-1541-2022,https://doi.org/10.7343/as-2017-262,,Primary,FP,FP,TP
10.12688_f1000research.10556.1,https://doi.org/10.5256/f1000research.11375.r19107,,Primary,FP,FP,TP
10.1098_rsos.160417,https://doi.org/10.5061/dryad.2bs69,Primary,Primary,TP,TP,TP
10.3133_cir1497,https://doi.org/10.5066/p9s5pvon,Secondary,,TP,FN,TP
10.1111_1365-2664.13128,https://doi.org/10.2981/11-058,,Primary,FP,FP,TP
10.5194_tc-17-3617-2023,https://doi.org/10.24381/cds.6a6d1bc3,Secondary,,TP,FN,TP
10.1186_s13104-018-4014-1,SRX2499147,,Secondary,FP,FP,FP
10.1186_s12864-019-5872-1,ENSDARG00000018418,,Secondary,FP,FP,FP
10.1186_s12864-019-6131-1,PRJEB13246,,Secondary,FP,FP,FP
10.1073_pnas.1323607111,https://doi.org/10.5061/dryad.v2t58,Primary,Primary,TP,TP,TP
10.12688_f1000research.13622.1,https://doi.org/10.5256/f1000research.14799.r33998,,Primary,FP,FP,TP
10.1371_journal.pone.0212669,E-GEOD-54837,Secondary,Secondary,TP,TP,TP
10.7717_peerj.12422,https://doi.org/10.15468/dl.t3h8b4,Secondary,,TP,FN,TP
10.1111_1365-2435.13431,https://doi.org/10.5061/dryad.d84hg87,Primary,Primary,TP,TP,TP
10.7554_eLife.63194,PRJEB43248,,Secondary,FP,FP,TP
10.1101_2022.02.10.480011,https://doi.org/10.15482/usda.adc/1524676,Primary,Primary,TP,TP,TP
10.1186_s40478-018-0561-x,GSE110718,,Secondary,FP,FP,FP
10.1038_s41597-019-0101-y,SAMN10880029,,Primary,FP,FP,TP
10.1590_1809-6891v21e-43578,https://doi.org/10.4025/actascianimsci.v38i1.29104,,Primary,FP,FP,FP
10.3390_v11060565,EPI954559,Secondary,Secondary,TP,TP,TP
10.3133_cir1497,https://doi.org/10.5066/p9s5pvon,,Primary,TP,FP,TP
10.1073_pnas.2306723120,https://doi.org/10.5066/f7df6pqs,,Primary,FP,FP,TP
10.3390_v11060565,EPI1104286,Secondary,Secondary,TP,TP,TP
10.21105_joss.04237,https://doi.org/10.5067/zx7yx2y2lheb,,Primary,TP,FP,TP
10.1186_s12885-018-4768-9,https://doi.org/10.2176/nmc.ra2013-0200,,Primary,FP,FP,FP
10.7717_peerj.12422,https://doi.org/10.15468/dl.k6jv69,Secondary,,TP,FN,TP
10.1038_s41597-019-0101-y,SAMN10880036,,Primary,FP,FP,TP
10.5194_essd-2019-206,https://doi.org/10.18434/m32126,Primary,Primary,TP,TP,TP
10.3389_fmicb.2024.1456637,SAMN33094111,,Primary,FP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr27647.v1,,Primary,FP,FP,TP
10.5194_acp-22-5701-2022,https://doi.org/10.6096/aeroclo.1777,,Primary,TP,FP,TP
10.1007_s00259-022-06053-8,https://doi.org/10.1259/bjr.20170508,,Primary,FP,FP,TP
10.5937_bnhmb1811227u,https://doi.org/10.15468/dl.i71k4s,Secondary,,FN,FN,TP
10.1371_journal.pone.0212669,E-GEOD-60028,Secondary,Secondary,TP,TP,TP
10.1093_nar_gkp1049,3.40.30.10,Secondary,,FN,FN,TP
10.1371_journal.pone.0159387,PRJNA167243,Secondary,Secondary,TP,TP,TP
10.1186_s12864-019-6131-1,SRR2028138,,Secondary,FP,FP,FP
10.1007_s12559-020-09751-3,https://doi.org/10.3348/kjr.2020.0132,,Primary,FP,FP,TP
10.3133_cir1497,https://doi.org/10.5066/f77d2s7b,Secondary,,TP,FN,TP
10.3389_fevo.2023.1112519,https://doi.org/10.14806/ej.17.1.200,,Primary,FP,FP,TP
10.1098_rsos.170796,https://doi.org/10.1669/0883-1351,,Primary,FP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr33530.v1,Secondary,,TP,FN,TP
10.1038_s41396-020-00885-8,PRJEB6603,,Secondary,FP,FP,TP
10.12688_f1000research.13622.1,https://doi.org/10.5256/f1000research.13622.d194234,Primary,Primary,TP,TP,TP
10.1016_j.ecolind.2021.107934,https://doi.org/10.6096/ctoh_seaice_2019_12,,Primary,FP,FP,TP
10.1186_s12864-019-6131-1,PRJEB22479,,Secondary,FP,FP,FP
10.1128_JVI.01717-21,EPI_ISL_293286,,Secondary,TP,FP,TP
10.1029_2021pa004379,https://doi.org/10.25921/dt5g-my32,Primary,Primary,TP,TP,TP
10.3133_ofr20201035,https://doi.org/10.5066/p9wek4ji,,Primary,FP,FP,TP
10.3390_microorganisms8121872,CHEMBL76,Secondary,Secondary,TP,TP,TP
10.3390_v11060565,EPI954553,Secondary,Secondary,TP,TP,TP
10.1371_journal.pone.0212669,E-GEOD-45670,Secondary,Secondary,TP,TP,TP
10.1186_s13059-019-1924-8,GSM1872889,,Secondary,FP,FP,FP
10.7717_peerj.10452,SAMN16233662,Primary,Primary,TP,TP,TP
10.3389_fmicb.2024.1456637,SAMN04498560,,Primary,FP,FP,TP
10.1080_21645515.2023.2189598,NM_001110256,,Secondary,FP,FP,TP
10.3389_fmicb.2024.1456637,SAMN12620693,Secondary,,TP,FN,TP
10.1186_s12864-019-6131-1,PRJEB24169,,Secondary,FP,FP,FP
10.1128_spectrum.00422-24,K02405,Secondary,Secondary,TP,TP,TP
10.1186_s12866-019-1542-3,NC_007322.2,,Secondary,FP,FP,FP
10.1136_jitc-2021-003114,CVCL_D615,Secondary,Secondary,TP,TP,TP
10.1038_s41893-020-0559-9,https://doi.org/10.1256/qj.04.176,,Primary,FP,FP,TP
10.1038_s41467-018-04041-x,https://doi.org/10.3989/scimar.2001.65s285,,Primary,FP,FP,TP
10.5194_tc-17-3617-2023,https://doi.org/10.5067/modis/mod10a1f.061,,Primary,TP,FP,TP
10.1038_s41597-019-0101-y,SAMN10880034,,Primary,FP,FP,TP
10.1002_nafm.10870,https://doi.org/10.5066/f75m63x0,,Primary,FP,FP,TP
10.1186_s12859-016-0938-4,GSM803363,,Secondary,FP,FP,FP
10.1029_2023ea002840,https://doi.org/10.5038/1827-806x.37.3.1,,Primary,FP,FP,TP
10.5194_gmd-12-4221-2019,https://doi.org/10.6075/j0k35s05,Primary,Primary,TP,TP,TP
10.1111_cas.12935,Q99538,Secondary,,FN,FN,TP
10.1186_s12862-019-1509-x,https://doi.org/10.1671/0272-4634,,Primary,FP,FP,FP
10.5194_acp-22-2769-2022,https://doi.org/10.5067/suborbital/oracles/p3/2018_v2,,Primary,TP,FP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.3106/041.038.0103,,Primary,FP,FP,TP
10.3762_bjoc.9.92,https://doi.org/10.3987/com-04-10315,,Primary,FP,FP,FP
10.1534_g3.119.400401,https://doi.org/10.13020/adqb-bb41,,Primary,FP,FP,TP
10.7717_peerj.12422,https://doi.org/10.15468/dl.p4r693,,Primary,FP,FP,TP
10.7554_eLife.72626,https://doi.org/10.3978/j.issn.1000-9604.2016.02.04,,Primary,FP,FP,TP
10.12688_f1000research.13622.1,https://doi.org/10.5256/f1000research.13622.d194236,Primary,Primary,TP,TP,TP
10.1186_s12933-019-0813-5,https://doi.org/10.4239/wjd.v1.i3.76,,Primary,FP,FP,FP
10.1186_s13068-018-1167-z,PRJEB25632,,Secondary,FP,FP,FP
10.1128_spectrum.00422-24,PF00356,Secondary,Secondary,TP,TP,TP
10.1186_s13059-019-1918-6,https://doi.org/10.5281/zenodo.3368857,,Primary,FP,FP,FP
10.1186_s13072-019-0285-6,GSE80049,,Secondary,FP,FP,FP
10.3133_cir1497,https://doi.org/10.5066/f7tt4q4b,Secondary,,TP,FN,TP
10.1080_19475683.2023.2226196,https://doi.org/10.4098/at.arch.88-15,,Primary,FP,FP,TP
10.5194_tc-17-3617-2023,https://doi.org/10.3402/tellusa.v68.29879,,Primary,FP,FP,TP
10.1186_s12868-019-0514-8,https://doi.org/10.1203/pdr.0b013e318225fbcb,,Primary,FP,FP,FP
10.1080_02713683.2019.1607392,https://doi.org/10.1167/iovs.03-1145,,Primary,FP,FP,FP
10.1093_beheco_arw167,K00550,,Secondary,FP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr27646.v1,Secondary,,TP,FN,TP
10.1186_s13104-018-4014-1,SRX2499144,,Secondary,FP,FP,FP
10.5194_acp-22-2769-2022,https://doi.org/10.21957/cpmkqvhja,,Primary,FP,FP,TP
10.1107_s2059798322005691,https://doi.org/10.18150/vazz2f,Primary,Primary,TP,TP,TP
10.1186_s12915-018-0584-6,https://doi.org/10.1529/biophysj.105.076893,,Primary,FP,FP,FP
10.1534_g3.119.400401,https://doi.org/10.25387/g3.9478253,Primary,Primary,TP,TP,TP
10.1128_JVI.01717-21,EPI_ISL_445002,,Secondary,TP,FP,TP
10.5194_acp-22-2769-2022,https://doi.org/10.5281/zenodo.3733448,,Primary,FP,FP,TP
10.1039_d0sc01518k,https://doi.org/10.18388/abp.2017_1569,,Primary,FP,FP,FP
10.1111_cas.12935,HPA003156,Secondary,Secondary,TP,TP,TP
10.1590_1678-4685-gmb-2018-0055,SRR5651498,,Secondary,FP,FP,FP
10.3390_v11060565,EPI954556,Secondary,Secondary,TP,TP,TP
10.1186_s12864-018-5198-4,PRJNA421475,,Secondary,FP,FP,FP
10.1016_j.jlp.2022.104761,https://doi.org/10.23642/usn.13721134.v3,,Primary,FP,FP,TP
10.5194_tc-17-3617-2023,https://doi.org/10.24381/cds.32b04ec5,,Primary,TP,FP,TP
10.1128_spectrum.00422-24,PF04509,Secondary,Secondary,TP,TP,TP
10.1186_s12870-019-1632-2,SAMN10345062,,Primary,FP,FP,FP
10.1111_1365-2664.13168,https://doi.org/10.5061/dryad.j8cm402,Primary,Primary,TP,TP,TP
10.1186_s12918-018-0564-z,SRp20,,Secondary,FP,FP,FP
10.5194_essd-2023-187,https://doi.org/10.17895/ices.advice.9100,,Primary,FP,FP,TP
10.1590_0034-7167-2018-0065,https://doi.org/10.5205/reuol.9373-82134-1-rv1008201645,,Primary,FP,FP,FP
10.1007_s00382-022-06361-7,https://doi.org/10.6075/j089161b,Primary,Primary,TP,TP,TP
10.1136_jitc-2021-003114,CVCL_2213,Secondary,Secondary,TP,TP,TP
10.1534_g3.119.400993,https://doi.org/10.25387/g3.9626636,Primary,Primary,TP,TP,TP
10.12688_f1000research.4660.1,https://doi.org/10.5256/f1000research.4981.r5919,,Primary,FP,FP,TP
10.1590_2236-3459_83528,https://doi.org/10.1787/208277770603,,Primary,FP,FP,FP
10.1186_s12859-016-0922-z,SRR950083,,Secondary,FP,FP,FP
10.1080_21645515.2023.2189598,NM_001194698,,Secondary,FP,FP,TP
10.12688_f1000research.11698.1,https://doi.org/10.5256/f1000research.12639.r23964,,Primary,FP,FP,TP
10.1128_JVI.01717-21,EPI_ISL_445001,Primary,,TP,FN,TP
10.1093_nar_gkp1049,3.90.226.10,Secondary,,FN,FN,TP
10.1111_gcb.14974,https://doi.org/10.4031/mtsj.44.3.11,,Primary,FP,FP,FP
10.1155_2013_536562,https://doi.org/10.3906/kim-0901-1,,Primary,FP,FP,FP
10.1128_spectrum.00422-24,K02413,Secondary,Secondary,TP,TP,TP
10.1186_s12903-018-0656-6,https://doi.org/10.5306/wjco.v6.i6.264,,Primary,FP,FP,FP
10.1002_mp.14424,https://doi.org/10.5281/zenodo.1313201,,Primary,FP,FP,TP
10.1111_1365-2435.13087,erp036,,Secondary,FP,FP,TP
10.3389_fmicb.2024.1456637,SAMN04505647,,Primary,FP,FP,TP
10.1038_s41558-022-01301-z,https://doi.org/10.5281/zenodo.5889575,Primary,,FN,FN,FN
10.1128_JVI.01717-21,EPI_ISL_445090,,Secondary,TP,FP,TP
10.1186_s13071-018-2842-4,https://doi.org/10.17638/datacat.liverpool.ac.uk/417,Primary,Primary,TP,TP,TP
10.1186_s13059-019-1924-8,E-MTAB-2323,,Secondary,FP,FP,FP
10.1186_s12864-019-5872-1,ENSDARG00000005479,,Secondary,FP,FP,FP
10.1186_s12859-016-0922-z,SRR950085,,Secondary,FP,FP,FP
10.7554_eLife.72626,CVCL_1379,Primary,,TP,FN,TP
10.1186_s12885-018-4229-5,https://doi.org/10.20892/j.issn.2095-3941.2016.0002,,Primary,FP,FP,FP
10.1371_journal.pone.0159387,PRJNA296687,Secondary,Secondary,TP,TP,TP
10.1186_s13059-020-1949-z,GSM3630202,,Secondary,FP,FP,FP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr35020.v1,,Primary,TP,FP,TP
10.1002_mp.14424,https://doi.org/10.7937/k9/tcia.2015.pf0m9rei,,Primary,TP,FP,TP
10.7554_elife.29944,https://doi.org/10.5061/dryad.8153g,Primary,Primary,TP,TP,TP
10.1186_s13068-018-1316-4,https://doi.org/10.1263/jbb.101.1,,Primary,FP,FP,FP
10.1039_d1ee03696c,https://doi.org/10.1149/1.3465636,,Primary,FP,FP,TP
10.1186_s12864-019-5872-1,ENSDARG00000010097,,Secondary,FP,FP,FP
10.12688_f1000research.13852.1,https://doi.org/10.5256/f1000research.15056.r31654,,Primary,FP,FP,TP
10.7717_peerj.12422,https://doi.org/10.15468/dl.j4fe7k,,Primary,TP,FP,TP
10.1186_s12864-019-6131-1,PRJEB25675,,Secondary,FP,FP,FP
10.1038_s41893-020-0559-9,https://doi.org/10.5061/dryad.ns1rn8pnt,Primary,,FN,FN,TP
10.21105_joss.04237,https://doi.org/10.15485/1843541,Secondary,,TP,FN,TP
10.3847_1538-4357_aae92c,https://doi.org/10.3847/1538-4357/aae92c,,Primary,FP,FP,FP
10.1371_journal.pone.0200041,https://doi.org/10.5061/dryad.f8c5r7q,Primary,Primary,TP,TP,TP
10.1128_JVI.01717-21,EPI_ISL_293289,,Secondary,TP,FP,TP
10.3133_cir1497,https://doi.org/10.4095/313537,,Primary,FP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36791.v1,Secondary,,TP,FN,TP
10.1371_journal.pone.0212669,E-GEOD-64857,Secondary,Secondary,TP,TP,TP
10.1111_cas.12935,Q96AG4,Secondary,,FN,FN,TP
10.1186_s12864-019-5872-1,ENSDARG00000039241,,Secondary,FP,FP,FP
10.3390_v11060565,EPI1184014,Secondary,Secondary,TP,TP,TP
10.1002_2017jc013030,https://doi.org/10.17882/49388,Primary,Primary,TP,TP,TP
10.1021_acsomega.3c06074,CHEMBL3422978,Secondary,Secondary,TP,TP,TP
10.1186_s12862-019-1509-x,https://doi.org/10.2741/2730,,Primary,FP,FP,FP
10.1007_s12263-014-0408-4,https://doi.org/10.1301/00296640260130722,,Primary,FP,FP,FP
10.1038_s41396-020-00885-8,IPR016201,Secondary,Secondary,TP,TP,TP
10.21203_rs.3.rs-3338732_v1,https://doi.org/10.21203/rs.3.rs-3338732/v1,,Primary,FP,FP,TP
10.1002_chem.202003167,DRX500,,Secondary,FP,FP,FP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36395.v1,,Primary,TP,FP,TP
10.5194_essd-2023-198,https://doi.org/10.17882/94031,Primary,Primary,TP,TP,TP
10.1093_nar_gkp1049,3.20.20.140,Secondary,,FN,FN,TP
10.3133_cir1497,https://doi.org/10.5066/p9vysweh,,Primary,TP,FP,TP
10.1186_s12859-016-0922-z,SRR873834,,Secondary,FP,FP,FP
10.12688_f1000research.13483.1,https://doi.org/10.5256/f1000research.17803.r38478,,Primary,FP,FP,TP
10.1073_pnas.2306723120,https://doi.org/10.15468/dl.k8zeq6,Primary,Primary,TP,TP,TP
10.1371_journal.pone.0198382,https://doi.org/10.5066/f72j69rm,Secondary,,TP,FN,TP
10.3389_fcell.2020.618552,https://doi.org/10.5281/zenodo.4311472,Primary,,FN,FN,TP
10.1186_s13104-019-4058-x,https://doi.org/10.1298/jjpta.vol17_003,,Primary,FP,FP,FP
10.1002_esp.5090,https://doi.org/10.5459/bnzsee.41.2.5167,,Primary,FP,FP,TP
10.3390_s23177333,https://doi.org/10.22430/22565337.1491,,Primary,FP,FP,TP
10.18438_eblip29674,https://doi.org/10.7191/jeslib.2019.1167,,Primary,FP,FP,TP
10.1038_s41598-021-85671-y,https://doi.org/10.3238/arztebl.2009.0335,,Primary,FP,FP,TP
10.1038_s41396-020-00885-8,PRJEB41235,,Secondary,FP,FP,TP
10.1038_hdy.2014.75,https://doi.org/10.5061/dryad.1p80f,Primary,Primary,TP,TP,TP
10.3389_fmicb.2024.1456637,SAMN12620703,,Primary,TP,FP,TP
10.1128_JVI.01717-21,EPI_ISL_445051,,Secondary,TP,FP,TP
10.7717_peerj.12422,https://doi.org/10.15468/dl.t3h8b4,,Primary,TP,FP,TP
10.3390_microorganisms8121872,CHEMBL3752642,Secondary,Secondary,TP,TP,TP
10.1038_s41598-020-59839-x,ENSBTAG00000017869,,Secondary,FP,FP,TP
10.1111_gcb.13914,https://doi.org/10.15131/shef.data.5414629,Primary,Primary,TP,TP,TP
10.1371_journal.pone.0284951,https://doi.org/10.13012/b2idb-5784165_v1,Primary,Primary,TP,TP,TP
10.1002_nafm.10870,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t202153a18,,Primary,FP,FP,TP
10.1007_s00259-022-06053-8,https://doi.org/10.7937/tcia.2019.30ilqfcl,,Primary,TP,FP,TP
10.1038_s41598-020-59839-x,ENSBTAG00000032007,,Secondary,FP,FP,TP
10.1111_acel.13089,rs33912345,Primary,,FN,FN,TP
