article_id,dataset_id,type_true,type_pred,cat_id,cat_type
10.7717_peerj.12422,https://doi.org/10.15468/dl.t3h8b4,Secondary,,TP,FN
10.1128_JVI.01717-21,EPI_ISL_293291,,Secondary,TP,FP
10.1103_physrevresearch.4.023008,https://doi.org/10.1038/s41586-018-0770-2,,Primary,FP,FP
10.7554_eLife.72626,https://doi.org/10.1016/j.cell.2016.06.017,,Primary,FP,FP
10.1029_2023wr035126,https://doi.org/10.1899/12-002.1,,Primary,FP,FP
10.1029_2023wr035126,https://doi.org/10.1007/s10113-016-1072-6,,Primary,FP,FP
10.1103_physrevresearch.4.023008,https://doi.org/10.1038/nature02018,,Primary,FP,FP
10.3762_bjoc.8.42,Missing,Missing,,FN,FN
10.5194_essd-12-1287-2020,https://doi.org/10.17882/59867,Primary,Primary,TP,TP
10.1093_nar_gkp1049,3.20.20.140,Secondary,,FN,FN
10.1039_d1ee03696c,https://doi.org/10.1002/aenm.201900399,,Primary,FP,FP
10.3389_fcimb.2024.1292467,EPI_ISL_2365356,Secondary,Secondary,TP,TP
10.1002_ecs2.4619,https://doi.org/10.1016/j.jtherbio.2021.102929,,Primary,FP,FP
10.1038_s41597-019-0101-y,SAMN10880037,,Primary,FP,FP
10.1107_s2052252515010271,Missing,Missing,,FN,FN
10.1107_s1600536811042164,Missing,Missing,,FN,FN
10.7717_peerj.10452,SAMN16233643,Primary,Primary,TP,TP
10.1007_s00382-022-06361-7,https://doi.org/10.6075/j0891,,Primary,FP,FP
10.1371_journal.pone.0159387,PRJNA32553,Secondary,Secondary,TP,TP
10.1111_eva.12768,https://doi.org/10.1111/(issn)1752-4571,,Primary,FP,FP
10.1186_s12918-018-0620-8,PXD008153,,Secondary,FP,FP
10.1038_s41597-023-02280-2,EMPIAR-10017,Secondary,Secondary,TP,TP
10.1007_s00382-012-1636-1,Missing,Missing,,FN,FN
10.1098_rsos.160417,https://doi.org/10.5061/dryad.2bs69,Primary,Primary,TP,TP
10.7554_elife.73695,https://doi.org/10.1016/j.anbehav.2005.01.008,,Primary,FP,FP
10.1128_JVI.01717-21,EPI_ISL_445093,,Secondary,TP,FP
10.3133_cir1497,https://doi.org/10.5066/p9h1s1pv,Secondary,,FN,FN
10.1186_s13072-019-0285-6,Missing,Missing,,FN,FN
10.1128_spectrum.00422-24,K03415,,Secondary,FP,FP
10.1111_acel.13089,https://doi.org/10.13039/100000053,,Primary,FP,FP
10.1080_14756366.2020.1740692,https://doi.org/10.13039/501100001809,,Primary,FP,FP
10.1038_s41598-024-56373-y,BX119912,Secondary,Secondary,TP,TP
10.5194_acp-22-2769-2022,https://doi.org/10.5067/suborbital/oracles/p3/2016_v2,Secondary,,FN,FN
10.1186_s12864-019-6131-1,ERX2234588,,Secondary,FP,FP
10.1371_journal.pone.0284951,https://doi.org/10.1109/tpami.2016.2577031,,Primary,FP,FP
10.1371_journal.pone.0284951,https://doi.org/10.13012/b2idb-5784165_v1,Primary,Primary,TP,TP
10.1029_2023ea002840,https://doi.org/10.1029/2005jd006488,,Primary,FP,FP
10.1111_1365-2664.13446,https://doi.org/10.5061/dryad.6d66b49,Primary,,FN,FN
10.1590_0104-530x4900-19,Missing,Missing,,FN,FN
10.3133_cir1497,https://doi.org/10.5066/f72z13n1,Secondary,,FN,FN
10.1111_acel.13089,https://doi.org/10.6075/j0707ztm,,Primary,FP,FP
10.1186_s12864-015-2206-9,Missing,Missing,,FN,FN
10.1371_journal.pone.0212669,E-GEOD-59312,Secondary,Secondary,TP,TP
10.1029_2023ea002840,https://doi.org/10.1016/j.epsl.2005,,Primary,FP,FP
10.1002_ecs2.4619,PASTA/D835832D7FD00D9E4466E44EEA87FAB3,,Secondary,FP,FP
10.1186_s40168-018-0532-2,https://doi.org/10.13039/501100004795,,Primary,FP,FP
10.1186_s12859-017-1563-6,https://doi.org/10.13039/100005410,,Primary,FP,FP
10.1007_jhep12(2018)117,Missing,Missing,,FN,FN
10.3390_d13010019,https://doi.org/10.1111/1365-2745.13184,,Primary,FP,FP
10.1371_journal.pone.0159387,CP013147,Secondary,Secondary,TP,TP
10.7554_elife.73695,https://doi.org/10.1093/emph/eow018,,Primary,FP,FP
10.7717_peerj.10452,SAMN16233653,Primary,Primary,TP,TP
10.3389_feart.2023.1205211,https://doi.org/10.1016/j.epsl.2022.117797,,Primary,FP,FP
10.1039_d0sc02283g,Missing,Missing,,FN,FN
10.1590_fst.36617,Missing,Missing,,FN,FN
10.1038_s41558-022-01301-z,https://doi.org/10.5281/zenodo.5889575,Primary,,FN,FN
10.1186_s12860-020-00261-6,Missing,Missing,,FN,FN
10.1186_s12915-018-0584-6,CVCL_0123,,Secondary,FP,FP
10.7717_peerj.10452,SAMN16233654,Primary,Primary,TP,TP
10.1029_2023ea002840,https://doi.org/10.1594/pangaea.964081,Primary,Primary,TP,TP
10.1101_2022.07.21.501061,https://doi.org/10.5061/dryad.547d7wmc2,,Primary,FP,FP
10.1128_spectrum.00422-24,K02408,,Secondary,FP,FP
10.1038_s41597-023-02280-2,EMPIAR-10005,Secondary,Secondary,TP,TP
10.7554_elife.73695,https://doi.org/10.3390/s21010076,,Primary,FP,FP
10.21203_rs.3.rs-3338732_v1,https://doi.org/10.25422/azu.data.19680372,Primary,,FN,FN
10.1038_s41597-022-01555-4,https://doi.org/10.7937/tcia.xc7a-qt20,Primary,Primary,TP,TP
10.3389_feart.2023.1205211,https://doi.org/10.1130/0091-7613(2002,,Primary,FP,FP
10.1186_s12859-016-0922-z,SRR950087,,Secondary,FP,FP
10.7717_peerj.12422,https://doi.org/10.15468/dl.82wsgb,,Primary,FP,FP
10.1029_2023ea002840,https://doi.org/10.1016/0198-0149(91)90023-9,,Primary,FP,FP
10.1186_s12859-016-0922-z,SRR950079,,Secondary,FP,FP
10.1128_spectrum.00422-24,PF04509,Secondary,Secondary,TP,TP
10.1016_j.jlp.2022.104761,https://doi.org/10.23642/usn.15134442.v1,Primary,,FN,FN
10.3389_feart.2023.1205211,https://doi.org/10.1130/g25356a,,Primary,FP,FP
10.1029_2019pa003774,https://doi.org/10.3334/cdiac/otg.ndp093_glodapv2,Secondary,,FN,FN
10.1029_2023ea002840,https://doi.org/10.1016/j.gca.2019.11.020,,Primary,FP,FP
10.1128_spectrum.00422-24,K02415,,Secondary,FP,FP
10.5194_acp-22-2769-2022,https://doi.org/10.5067/suborbital/oracles/p3/2018_v2,Secondary,,FN,FN
10.1107_s2414314616007033,Missing,Missing,,FN,FN
10.7554_eLife.72626,https://doi.org/10.1016/0022-5193(73)90247-6,,Primary,FP,FP
10.1039_d1ee03696c,https://doi.org/10.1002/adfm.201201732,,Primary,FP,FP
10.1093_sysbio_syy011,https://doi.org/10.13039/501100001809,,Primary,FP,FP
10.1016_j.cpc.2024.109087,https://doi.org/10.1016/j.aop.2014.06.013,,Primary,FP,FP
10.1016_j.molcel.2018.11.006,https://doi.org/10.17632/xtb4mkvf8f.1,Primary,Primary,TP,TP
10.1534_g3.119.400401,PRJNA488050,,Secondary,FP,FP
10.3133_ofr20231026,https://doi.org/10.1007/s10021-012-9566-7,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1306/13201101m891602,,Primary,FP,FP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.qm4v2t,Secondary,,FN,FN
10.1039_d1ee03696c,https://doi.org/10.13039/501100001711,,Primary,FP,FP
10.7717_peerj.10452,SAMN16233650,Primary,Primary,TP,TP
10.3390_d13010019,https://doi.org/10.1016/s0169-5347(00)02098-x,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1016/j.epsl.2005,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.3133/ofr02328,,Primary,FP,FP
10.5194_essd-12-1287-2020,https://doi.org/10.17882/70340,Primary,Primary,TP,TP
10.1371_journal.pcbi.1011828,PXD031556,Secondary,Secondary,TP,TP
10.1371_journal.pcbi.1011828,E-PROT-106,Secondary,Secondary,TP,TP
10.1371_journal.pcbi.1011828,PXD001676,Secondary,Secondary,TP,TP
10.1007_s00382-022-06361-7,https://doi.org/10.1016/j.quascirev.2016.09.017,,Primary,FP,FP
10.3389_fmicb.2024.1456637,SAMN12620697,,Primary,TP,FP
10.1002_chem.202001668,https://doi.org/10.13039/501100000266,,Primary,FP,FP
10.5194_essd-2023-187,https://doi.org/10.17882/55741,Secondary,,FN,FN
10.1029_2021gl096173,https://doi.org/10.1016/j.crhy.2005.05.002,,Primary,FP,FP
10.1038_s41598-020-59839-x,ENSBTAG00000009139,,Secondary,FP,FP
10.1002_ecs2.4619,https://doi.org/10.1038/ncomms13604,,Primary,FP,FP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36795.v1,Secondary,,TP,FN
10.7554_eLife.72626,https://doi.org/10.1186/s13148-019-0736-8,,Primary,FP,FP
10.1029_2023ea002840,https://doi.org/10.5194/cp-15-1793-2019,,Primary,FP,FP
10.1186_s12868-018-0468-2,https://doi.org/10.13039/100010810,,Primary,FP,FP
10.7554_eLife.72626,https://doi.org/10.1371/journal.pone.0069008,,Primary,FP,FP
10.1029_2023ea002840,https://doi.org/10.3402/tellusb.v61i2.16839,,Primary,FP,FP
10.1016_j.cpc.2024.109087,https://doi.org/10.1103/physrevb.105,,Primary,FP,FP
10.1371_journal.pone.0159387,PRJNA74079,Secondary,Secondary,TP,TP
10.1016_j.molcel.2018.11.006,GSE44672,,Secondary,FP,FP
10.1038_s41437-020-0318-8,https://doi.org/10.5061/dryad.rxwdbrv58,Primary,Primary,TP,TP
10.1186_s13024-018-0266-4,https://doi.org/10.13039/100000065,,Primary,FP,FP
10.1007_s00382-022-06361-7,https://doi.org/10.1038/s41598-019-46169-w,,Primary,FP,FP
10.1186_s13068-017-0901-2,Missing,Missing,,FN,FN
10.7554_eLife.72626,https://doi.org/10.1038/nature01259,,Primary,FP,FP
10.1128_JVI.01717-21,https://doi.org/10.13039/501100001809,,Primary,FP,FP
10.1080_21645515.2023.2189598,ENSMMUT00000013362,Secondary,,FN,FN
10.1016_j.cpc.2024.109087,https://doi.org/10.1103/physrevb.31.4403,,Primary,FP,FP
10.1186_s12920-020-00737-6,Missing,Missing,,FN,FN
10.1021_acsomega.3c06074,CHEMBL572163,Secondary,Secondary,TP,TP
10.3389_fcimb.2024.1292467,EPI_ISL_13295050,Secondary,Secondary,TP,TP
10.3389_feart.2023.1205211,https://doi.org/10.1038/s41467-020-17289-z,,Primary,FP,FP
10.1039_d1ee03696c,https://doi.org/10.1021/cm991054e,,Primary,FP,FP
10.7554_eLife.72626,https://doi.org/10.1039/c5ib00029g,,Primary,FP,FP
10.1186_s12885-019-5681-6,GSE128766,,Secondary,FP,FP
10.1103_physrevresearch.4.023008,https://doi.org/10.1038/ncomms10295,,Primary,FP,FP
10.1186_s12967-019-2100-3,Missing,Missing,,FN,FN
10.3389_feart.2023.1205211,https://doi.org/10.1126/science.1246298,,Primary,FP,FP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr35020.v1,,Primary,TP,FP
10.7554_eLife.72626,CVCL_1379,Primary,,TP,FN
10.7554_eLife.72626,https://doi.org/10.3390/ijms21124507,,Primary,FP,FP
10.1186_s12859-017-1563-6,Missing,Missing,,FN,FN
10.1029_2021gl096173,https://doi.org/10.1002/2015jd024475,,Primary,FP,FP
10.1002_chem.202003167,https://doi.org/10.1002/chem.v26.70,,Primary,FP,FP
10.7554_eLife.72626,https://doi.org/10.1101/060012,,Primary,FP,FP
10.1029_2021pa004379,https://doi.org/10.25921/dt5g-my32,Primary,,FN,FN
10.1080_07350015.2020.1766469,Missing,Missing,,FN,FN
10.1111_cas.12935,Q12907,Secondary,,FN,FN
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr37062.v1,Secondary,,TP,FN
10.1002_ecs2.4619,https://doi.org/10.1111/j.1749-4877,,Primary,FP,FP
10.1038_s41597-019-0101-y,SAMN10880038,,Primary,FP,FP
10.3390_s23177333,https://doi.org/10.5281/zenodo.8090619,Secondary,,TP,FN
10.1039_d0sc02676j,https://doi.org/10.13039/501100003725,,Primary,FP,FP
10.1039_d0sc01518k,https://doi.org/10.13039/501100004826,,Primary,FP,FP
10.1186_s12915-018-0498-3,https://doi.org/10.13039/100000875,,Primary,FP,FP
10.1186_s13072-019-0285-6,GSE51176,,Secondary,FP,FP
10.1590_1806-9479.2019.185555,Missing,Missing,,FN,FN
10.1039_d2cc00847e,https://doi.org/10.5281/zenodo.6010341,Primary,,FN,FN
10.1039_d1ee03696c,https://doi.org/10.1143/jjap.39.l786,,Primary,FP,FP
10.7554_eLife.72626,https://doi.org/10.1097/cej.0000000000000549,,Primary,FP,FP
10.3390_v11060565,EPI1019553,Secondary,Secondary,TP,TP
10.1186_s13059-020-1949-z,https://doi.org/10.13039/501100002347,,Primary,FP,FP
10.5194_essd-2023-198,https://doi.org/10.17882/94146,Primary,Primary,TP,TP
10.1038_s41598-020-59839-x,ENSBTAG00000017869,,Secondary,FP,FP
10.1186_s12864-018-4947-8,https://doi.org/10.13039/501100001407,,Primary,FP,FP
10.1038_s41396-020-00885-8,IPR004911,Secondary,Secondary,TP,TP
10.1029_2023ea002840,https://doi.org/10.1130/g22865a,,Primary,FP,FP
10.3390_cryst2031058,Missing,Missing,,FN,FN
10.1186_s13059-018-1557-3,https://doi.org/10.13039/501100001659,,Primary,FP,FP
10.1371_journal.pone.0284951,https://doi.org/10.1088/1361-6560/aba6d4,,Primary,FP,FP
10.1371_journal.pone.0159387,PRJNA65043,Secondary,Secondary,TP,TP
10.3897_zoologia.36.e32053,https://doi.org/10.13039/501100001807,,Primary,FP,FP
10.1029_2023ea002840,https://doi.org/10.1029/2006gl025864,,Primary,FP,FP
10.1007_s00382-022-06361-7,https://doi.org/10.1029/2020j,,Primary,FP,FP
10.1103_physrevresearch.4.023008,https://doi.org/10.1088/1361-648x/aa5708,,Primary,FP,FP
10.1029_2023wr035126,https://doi.org/10.1002/2014wr016124,,Primary,FP,FP
10.3762_bjoc.9.92,Missing,Missing,,FN,FN
10.1186_s13059-018-1557-3,GSE119466,,Secondary,FP,FP
10.1007_jhep07(2018)134,Missing,Missing,,FN,FN
10.1128_JVI.01717-21,EPI_ISL_445052,,Secondary,TP,FP
10.1007_s00382-022-06361-7,https://doi.org/10.1175/jcli-d-19-0439,,Primary,FP,FP
10.1242_dev.138545,https://doi.org/10.5061/dryad.fj0qj,Primary,Primary,TP,TP
10.1371_journal.pone.0212669,E-GEOD-54837,Secondary,Secondary,TP,TP
10.3390_v11060565,KX000727,Secondary,Secondary,TP,TP
10.1002_ecs2.4619,https://doi.org/10.1029/2017wr022163,,Primary,FP,FP
10.1002_chem.202001412,Missing,Missing,,FN,FN
10.1128_JVI.01717-21,EPI_ISL_332395,Primary,,TP,FN
10.1186_s12859-016-0904-1,https://doi.org/10.13039/100000098,,Primary,FP,FP
10.1186_s13072-019-0322-5,https://doi.org/10.13039/501100003422,,Primary,FP,FP
10.3847_1538-4357_aae92c,Missing,Missing,,FN,FN
10.1029_2021gl096173,https://doi.org/10.1038/ncomms12016,,Primary,FP,FP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr30765.v1,Secondary,,TP,FN
10.1186_s12859-018-2146-x,https://doi.org/10.13039/501100001809,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1130/0091-7613(1998)026<0647:acftcs>2.3.co,,Primary,FP,FP
10.1016_j.websem.2024.100815,https://doi.org/10.17863/cam.82548,Primary,,FN,FN
10.1128_spectrum.00422-24,K02417,Secondary,Secondary,TP,TP
10.7554_elife.73695,https://doi.org/10.13039/100007707,,Primary,FP,FP
10.7554_eLife.72626,https://doi.org/10.1038/srep17280,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1029/2020jb019589,,Primary,FP,FP
10.12688_f1000research.13064.1,https://doi.org/10.12688/f1000research.13064.2,,Primary,FP,FP
10.7554_elife.73695,https://doi.org/10.7554/elife.19505,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1130/g46666,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1130/0016-7606(2002)114<0178:eotnmm>2.0.co;2,,Primary,FP,FP
10.7554_elife.73695,https://doi.org/10.1002/ece3.1377,,Primary,FP,FP
10.1186_s12862-015-0558-z,https://doi.org/10.6070/h42n5083,,Primary,FP,FP
10.1186_s12882-019-1494-8,Missing,Missing,,FN,FN
10.3390_d13010019,https://doi.org/10.1002/ecs2.2881,,Primary,FP,FP
10.1186_s12862-018-1213-2,https://doi.org/10.13039/501100003246,,Primary,FP,FP
10.1039_d1ee03696c,https://doi.org/10.3334/cdiac/00001_v2017,Secondary,,TP,FN
10.1128_spectrum.00422-24,K02404,Secondary,Secondary,TP,TP
10.3389_feart.2023.1205211,https://doi.org/10.1130/g45151.1,,Primary,FP,FP
10.1111_2041-210x.12453,https://doi.org/10.5061/dryad.h4f7p,Primary,Primary,TP,TP
10.1016_j.cpc.2024.109087,https://doi.org/10.1103/physrevlett.107.256402,,Primary,FP,FP
10.1038_s41597-022-01555-4,https://doi.org/10.13039/100000002,,Primary,FP,FP
10.7554_eLife.63194,SRR2430030,Secondary,Secondary,TP,TP
10.7554_elife.73695,https://doi.org/10.1093/beheco/arh037,,Primary,FP,FP
10.1186_s13054-015-1052-0,GSE26440,,Secondary,FP,FP
10.1038_s41598-020-59839-x,ENSBTAG00000018517,,Secondary,FP,FP
10.1038_s41597-019-0101-y,SAMN10880025,,Primary,FP,FP
10.1093_beheco_arw167,K00550,,Secondary,FP,FP
10.1111_gcb.14974,https://doi.org/10.13039/501100000038,,Primary,FP,FP
10.7554_elife.73695,https://doi.org/10.1016/j.tree.2008.11.001,,Primary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1029/2004gl022050,,Primary,FP,FP
10.1002_ece3.4466,https://doi.org/10.1002/ece3.2018.8.issue-19,,Primary,FP,FP
10.1111_1365-2435.13087,https://doi.org/10.5061/dryad.hs20gv7,Primary,,FN,FN
10.1038_s41598-020-59839-x,ENSOARG00000013966,Secondary,Secondary,TP,TP
10.1371_journal.pcbi.1011828,PXD002137,Secondary,Secondary,TP,TP
10.7554_elife.73695,https://doi.org/10.1016/s0031-9384(02)00654-6,,Primary,FP,FP
10.1186_s13054-019-2488-4,https://doi.org/10.13039/501100001809,,Primary,FP,FP
10.1186_s12864-018-4947-8,Missing,Missing,,FN,FN
10.3389_feart.2023.1205211,https://doi.org/10.1016/j.epsl.2018.09.002,,Primary,FP,FP
10.3390_d13010019,https://doi.org/10.1111/1365-2745.12202,,Primary,FP,FP
10.1029_2023ea002840,https://doi.org/10.1002/2015gl066853,,Primary,FP,FP
10.1186_s12860-020-00261-6,PXD016241,,Secondary,FP,FP
10.1186_s13059-020-1949-z,GSM3630201,,Secondary,FP,FP
10.1016_j.cpc.2024.109087,https://doi.org/10.1103/physrevb.105.205123,,Primary,FP,FP
10.1029_2023wr035126,https://doi.org/10.1002/hyp.9943,,Primary,FP,FP
10.1186_s12859-016-0922-z,GSM1722952,,Secondary,FP,FP
10.1371_journal.pone.0262974,7nmq,Secondary,,FN,FN
10.1021_acsomega.3c06074,CHEMBL2424928,Secondary,Secondary,TP,TP
10.7554_elife.73695,https://doi.org/10.1111/j.1467-9868.2010.00749.x,,Primary,FP,FP
10.7717_peerj.10452,SAMN16233656,Primary,Primary,TP,TP
10.1039_c9ce01020c,Missing,Missing,,FN,FN
10.1029_2023wr035126,https://doi.org/10.1029/2019wr026928,,Primary,FP,FP
10.5194_essd-2023-198,https://doi.org/10.17882/94031,Primary,Primary,TP,TP
10.1186_s13059-019-1908-8,https://doi.org/10.13039/100000082,,Primary,FP,FP
10.1128_JVI.01717-21,EPI_ISL_293289,,Secondary,TP,FP
10.1007_s00382-022-06361-7,https://doi.org/10.1029/2020ea001129,,Primary,FP,FP
10.1029_2023wr035126,https://doi.org/10.5194/hess-19-3333-2015,,Primary,FP,FP
10.1186_s12859-016-0922-z,SRR950081,,Secondary,FP,FP
10.1186_s12920-018-0426-y,https://doi.org/10.13039/100011636,,Primary,FP,FP
10.1111_cas.12935,Q99538,Secondary,,FN,FN
10.1098_rspb.2015.2726,https://doi.org/10.1016/j.exger.2004.03.018,,Primary,FP,FP
10.1029_2021gl096173,https://doi.org/10.1002/grl.50569,,Primary,FP,FP
10.1039_d2cc00847e,https://doi.org/10.1002/anie.201200729,,Primary,FP,FP
10.7554_elife.73695,https://doi.org/10.1016/j.smrv.2009.12.002,,Primary,FP,FP
10.1111_cas.12935,HPA030827,Secondary,Secondary,TP,TP
10.1029_2023ea002840,https://doi.org/10.1029/2006pa001308,,Primary,FP,FP
10.1186_s12864-019-6131-1,SRR5444513,,Secondary,FP,FP
10.1029_2023wr035126,https://doi.org/10.1007/s00267-010-9550-y,,Primary,FP,FP
10.1186_s12864-020-6657-2,Missing,Missing,,FN,FN
10.1186_s12866-020-01863-y,SAMN14519337,,Primary,FP,FP
10.1021_acsomega.3c06074,https://doi.org/10.13039/501100008968,,Primary,FP,FP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.cb2hsf,Secondary,,FN,FN
10.1002_chem.202001668,https://doi.org/10.1002/chem.v26.51,,Primary,FP,FP
10.1186_s12918-018-0564-z,Missing,Missing,,FN,FN
10.1038_s41598-020-59839-x,ENSOARG00000002144,,Secondary,FP,FP
10.1186_s12885-018-4229-5,https://doi.org/10.13039/100008903,,Primary,FP,FP
10.1002_ecs2.4619,https://doi.org/10.1111/j.1365-2486.2011.02540.x,,Primary,FP,FP
10.1186_s40170-018-0185-4,Missing,Missing,,FN,FN
10.1029_2022gl100473,https://doi.org/10.1038/s41567-022-01662-4,,Primary,FP,FP
10.1186_s13073-020-00727-4,Missing,Missing,,FN,FN
10.1590_1980-5373-mr-2018-0921,Missing,Missing,,FN,FN
10.1002_chem.201903120,Missing,Missing,,FN,FN
10.1186_s40657-018-0125-6,Missing,Missing,,FN,FN
10.1111_cas.12935,Q96AG4,Secondary,,FN,FN
10.1038_s41598-020-59839-x,IPR020857,Secondary,Secondary,TP,TP
10.1039_d0dt02130j,Missing,Missing,,FN,FN
10.1029_2023ea002840,https://doi.org/10.5038/1827-806x.37.3,,Primary,FP,FP
10.7554_eLife.72626,https://doi.org/10.7554/elife.72626,,Primary,FP,FP
10.1111_cas.12935,Q08629,Secondary,,FN,FN
10.1107_s160053681102201x,Missing,Missing,,FN,FN
10.3390_d13010019,https://doi.org/10.1029/2008gb003240,,Primary,FP,FP
10.1186_s40478-018-0655-5,https://doi.org/10.13039/501100004923,,Primary,FP,FP
10.14379_iodp.proc.390393.208.2024,https://doi.org/10.1594/pangaea.964943,Primary,,FN,FN
10.1186_s40170-018-0185-4,GSE92742,,Secondary,FP,FP
10.1038_s41597-023-02280-2,EMPIAR-10532,Secondary,Secondary,TP,TP
10.1007_s00259-022-06053-8,https://doi.org/10.7937/tcia.2019.30ilqfcl,Secondary,,FN,FN
10.3389_feart.2023.1205211,https://doi.org/10.1016/j.margeo.2013.04.003,,Primary,FP,FP
10.3390_d13010019,https://doi.org/10.1111/brv.12275,,Primary,FP,FP
10.1007_s00382-022-06361-7,https://doi.org/10.1029/2020g,,Primary,FP,FP
10.1186_s12864-019-6131-1,PRJEB13246,,Secondary,FP,FP
10.3389_feart.2023.1205211,https://doi.org/10.1016/0025-3227(72)90053-9,,Primary,FP,FP
10.1186_s12864-020-6657-2,https://doi.org/10.13039/501100001691,,Primary,FP,FP
10.1080_21645515.2023.2189598,ENSMMUT00000008499,Secondary,,FN,FN
10.3389_fmicb.2024.1456637,SAMN12620693,Secondary,,TP,FN
10.1371_journal.pone.0284951,https://doi.org/10.1016/j.neuroimage.2019.05.082,,Primary,FP,FP
10.1080_21645515.2023.2189598,ENSMMUT00000003274,Secondary,,FN,FN
10.1128_spectrum.00422-24,K02407,Secondary,Secondary,TP,TP
10.1128_JVI.01717-21,EPI_ISL_445052,Primary,,TP,FN
10.1186_s12864-019-6131-1,ERR519288,,Secondary,FP,FP
10.1371_journal.pcbi.1011828,PXD032899,Secondary,Secondary,TP,TP
10.3390_ijms12117360,Missing,Missing,,FN,FN
10.3390_d13010019,https://doi.org/10.1016/s0269-7491(97)00053-5,,Primary,FP,FP
10.12688_f1000research.13483.1,https://doi.org/10.1186/1476-069x-8-41,,Primary,FP,FP
10.1038_s41598-020-59839-x,IPR002172,Secondary,Secondary,TP,TP
10.1186_s13007-019-0403-2,Missing,Missing,,FN,FN
10.1038_s41597-019-0101-y,SRP184152,Primary,,TP,FN
10.1002_ece3.9627,https://doi.org/10.1002/(issn)2045-7758,,Primary,FP,FP
10.1111_cas.12935,HPA008063,Secondary,Secondary,TP,TP
10.1186_s13059-019-1924-8,GSM1872887,,Secondary,FP,FP
10.7554_eLife.72626,https://doi.org/10.3390/ijms18102105,,Primary,FP,FP
